Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
11/12/24,RECEIVED FROM YOU SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Cash),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Shares,,170,,,,101473,2060.13,
11/4/24,YOU SOLD VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,524.46,-0.533,,,,279.54,2060.13,11/5/24
11/4/24,YOU SOLD VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,524.46,-9,,0.14,,4720,1780.59,11/5/24
11/4/24,YOU BOUGHT TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,191.13,26,,,,-4969.36,-2939.41,11/5/24
11/4/24,YOU BOUGHT TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,191.13,0.16,,,,-30.58,2029.95,11/5/24
11/1/24,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Cash),FCX,FREEPORT-MCMORAN INC COM USD0.10,Cash,,0,,,,29.37,2060.53,
10/31/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,7.71,,,,-7.71,2031.16,
10/31/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,7.71,2031.16,
10/9/24,FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,-14.6,2023.45,
10/9/24,DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,69.5,2038.05,
10/1/24,DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,,0,,,,564.89,1968.55,
9/30/24,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Cash),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Cash,,0,,,,119.87,1403.66,
9/30/24,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Cash),PSA,PUBLIC STORAGE OPER CO COM,Cash,,0,,,,62.18,1283.79,
9/30/24,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Cash),IHI,ISHARES TR U.S. MED DVC ETF,Cash,,0,,,,17.47,1221.61,
9/30/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,4.56,,,,-4.56,1204.14,
9/30/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,4.56,1204.14,
9/27/24,DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash),RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQ,Cash,,0,,,,41.85,1199.58,
9/16/24,DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Cash),GOOGL,ALPHABET INC CAP STK CL A,Cash,,0,,,,21.36,1157.73,
9/12/24,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash),MSFT,MICROSOFT CORP,Cash,,0,,,,14.15,1136.37,
8/30/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,4.64,,,,-4.64,1122.22,
8/30/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,4.64,1122.22,
8/23/24,DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Cash),SCHW,SCHWAB CHARLES CORP COM,Cash,,0,,,,23.05,1117.58,
8/1/24,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Cash),FCX,FREEPORT-MCMORAN INC COM USD0.10,Cash,,0,,,,29.37,1094.53,
7/31/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,4.32,,,,-4.32,1065.16,
7/31/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,4.32,1065.16,
7/11/24,FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,-12.61,1060.84,
7/11/24,DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,60.06,1073.45,
7/2/24,DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,,0,,,,614.84,1013.39,
7/1/24,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Cash),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Cash,,0,,,,133.06,398.55,
7/1/24,REINVESTMENT as of Jun-28-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,38.12,4.83,,,,-184.13,265.49,
7/1/24,DIVIDEND RECEIVED as of Jun-28-2024 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,,0,,,,184.13,449.62,
6/28/24,DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash),RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQ,Cash,,0,,,,39.96,265.49,
6/28/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,0.61,,,,-0.61,225.53,
6/28/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,0.61,225.53,
6/27/24,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Cash),PSA,PUBLIC STORAGE OPER CO COM,Cash,,0,,,,62.18,224.92,
6/17/24,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Cash),IHI,ISHARES TR U.S. MED DVC ETF,Cash,,0,,,,11.61,162.74,
6/17/24,DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Cash),GOOGL,ALPHABET INC CAP STK CL A,Cash,,0,,,,21.36,151.13,
6/13/24,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash),MSFT,MICROSOFT CORP,Cash,,0,,,,14.15,129.77,
5/31/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,43.28,,,,-43.28,115.62,
5/31/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,43.28,115.62,
5/24/24,DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Cash),SCHW,SCHWAB CHARLES CORP COM,Cash,,0,,,,23.05,72.34,
5/10/24,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,478.82,123,,,,-58894.84,49.29,5/14/24
5/10/24,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,478.82,0.637,,,,-305.01,58944.13,5/14/24
5/9/24,WIRE TRANSFER FROM BANK (Cash),,No Description,Cash,,0,,,,50224.19,59249.14,
5/1/24,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Cash),FCX,FREEPORT-MCMORAN INC COM USD0.10,Cash,,0,,,,29.37,9024.95,
4/30/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,31.32,,,,-31.32,8995.58,
4/30/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,31.32,8995.58,
4/11/24,FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,-12.75,8964.26,
4/11/24,DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Cash,,0,,,,60.69,8977.01,
4/8/24,WIRE TRANSFER FROM BANK (Cash),,No Description,Cash,,0,,,,4700,8916.32,
4/2/24,DIVIDEND RECEIVED as of Mar-28-2024 FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,-0.03,4216.32,
4/2/24,REINVESTMENT as of Mar-28-2024 FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,-0.03,,,,0.03,4216.35,
4/1/24,REINVESTMENT as of Mar-28-2024 FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,0.03,,,,-0.03,4216.35,
4/1/24,DIVIDEND RECEIVED as of Mar-28-2024 FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,0.03,4216.35,
