Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.11%,CL,COLGATE-PALMOLIVE CO,--,"$82,409.21 ","1,069"
0.11%,ROST,ROSS STORES INC,--,"$80,779.68 ",432
0.11%,AEP,AMERICAN ELECTRIC POWER,--,"$80,613.30 ",709
0.11%,PCAR,PACCAR INC,--,"$80,248.80 ",696
0.10%,NXPI,NXP SEMICONDUCTORS NV,--,"$79,700.22 ",333
0.10%,SPG,SIMON PROPERTY GROUP INC,--,"$79,650.35 ",433
0.10%,ABNB,AIRBNB INC-CLASS A,--,"$77,290.56 ",564
0.10%,APD,AIR PRODUCTS & CHEMICALS INC,--,"$76,989.78 ",294
0.10%,BDX,BECTON DICKINSON AND CO,--,"$76,827.09 ",379
0.10%,LHX,L3HARRIS TECHNOLOGIES INC,--,"$76,510.72 ",247
0.10%,IDXX,IDEXX LABORATORIES INC,--,"$75,742.30 ",106
0.10%,SRE,SEMPRA,--,"$74,701.40 ",865
0.10%,COIN,COINBASE GLOBAL INC -CLASS A,--,"$74,270.86 ",302
0.10%,URI,UNITED RENTALS INC,--,"$73,993.92 ",84
0.10%,ZTS,ZOETIS INC,--,"$73,391.28 ",584
0.10%,AZO,AUTOZONE INC,--,"$72,997.76 ",22
0.10%,PYPL,PAYPAL HOLDINGS INC,--,"$72,610.91 ","1,241"
0.09%,MNST,MONSTER BEVERAGE CORP,--,"$71,961.75 ",945
0.09%,ALL,ALLSTATE CORP,--,"$71,715.42 ",346
0.09%,F,FORD MOTOR CO,--,"$71,255.64 ","5,186"
0.09%,O,REALTY INCOME CORP,--,"$69,967.00 ","1,220"
0.09%,AFL,AFLAC INC,--,"$68,868.75 ",625
0.09%,CMG,CHIPOTLE MEXICAN GRILL INC,--,"$68,100.24 ","1,752"
0.09%,FTNT,FORTINET INC,--,"$67,056.76 ",838
0.09%,DLR,DIGITAL REALTY TRUST INC,--,"$66,284.36 ",428
0.09%,SNDK,SANDISK CORP,--,"$65,408.60 ",185
0.09%,VST,VISTRA CORP,--,"$65,395.80 ",423
0.09%,EW,EDWARDS LIFESCIENCES CORP,--,"$65,319.10 ",770
0.09%,AXON,AXON ENTERPRISE INC,--,"$65,195.55 ",105
0.09%,CAH,CARDINAL HEALTH INC,--,"$65,057.66 ",314
0.08%,CBRE,CBRE GROUP INC - A,--,"$64,702.37 ",389
0.08%,D,DOMINION ENERGY INC,--,"$64,557.48 ","1,131"
0.08%,AME,AMETEK INC,--,"$64,198.72 ",304
0.08%,ROP,ROPER TECHNOLOGIES INC,--,"$62,576.80 ",143
0.08%,TGT,TARGET CORP,--,"$62,409.34 ",602
0.08%,FAST,FASTENAL CO,--,"$61,808.42 ","1,522"
0.08%,DAL,DELTA AIR LINES INC,--,"$61,619.00 ",860
0.08%,CTVA,CORTEVA INC,--,"$61,411.84 ",896
0.08%,MPWR,MONOLITHIC POWER SYSTEMS INC,--,"$61,381.12 ",64
0.08%,AMP,AMERIPRISE FINANCIAL INC,--,"$61,258.92 ",123
0.08%,DDOG,DATADOG INC - CLASS A,--,"$61,104.24 ",432
0.08%,ROK,ROCKWELL AUTOMATION INC,--,"$60,991.66 ",149
0.08%,EA,ELECTRONIC ARTS INC,--,"$60,736.50 ",297
0.08%,WDAY,WORKDAY INC-CLASS A,--,"$60,597.18 ",287
0.08%,NDAQ,NASDAQ INC,--,"$60,039.20 ",598
0.08%,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,--,"$58,777.43 ",229
0.08%,GWW,WW GRAINGER INC,--,"$58,271.44 ",58
0.08%,MSCI,MSCI INC,--,"$57,869.00 ",100
0.08%,EXC,EXELON CORP,--,"$57,563.61 ","1,339"
0.08%,XEL,XCEL ENERGY INC,--,"$57,477.70 ",785
0.08%,MET,METLIFE INC,--,"$57,450.18 ",734
0.07%,RSG,REPUBLIC SERVICES INC,--,"$55,615.28 ",266
0.07%,A,AGILENT TECHNOLOGIES INC,--,"$55,576.56 ",376
0.07%,PSA,PUBLIC STORAGE,--,"$55,527.12 ",209
0.07%,YUM,YUM! BRANDS INC,--,"$55,380.32 ",368
0.07%,AIG,AMERICAN INTERNATIONAL GROUP,--,"$55,182.12 ",716
0.07%,CARR,CARRIER GLOBAL CORP,--,"$55,145.93 ","1,049"
0.07%,IQV,IQVIA HOLDINGS INC,--,"$54,965.25 ",225
0.07%,PRU,PRUDENTIAL FINANCIAL INC,--,"$54,218.40 ",464
0.07%,ETR,ENTERGY CORP,--,"$54,055.52 ",592
0.07%,EBAY,EBAY INC,--,"$53,999.85 ",599
0.07%,CTSH,COGNIZANT TECH SOLUTIONS-A,--,"$53,746.29 ",639
0.07%,MCHP,MICROCHIP TECHNOLOGY INC,--,"$53,014.98 ",717
0.07%,XYZ,BLOCK INC,--,"$51,958.69 ",727
0.07%,GEHC,GE HEALTHCARE TECHNOLOGY,--,"$51,713.28 ",603
0.07%,PEG,PUBLIC SERVICE ENTERPRISE GP,--,"$51,280.38 ",661
0.07%,VMC,VULCAN MATERIALS CO,--,"$51,121.00 ",175
0.07%,DHI,DR HORTON INC,--,"$50,569.53 ",363
0.07%,HIG,HARTFORD INSURANCE GROUP INC,--,"$50,283.00 ",370
0.07%,UAL,UNITED AIRLINES HOLDINGS INC,--,"$50,138.00 ",430
0.07%,MLM,MARTIN MARIETTA MATERIALS,--,"$50,003.20 ",80
0.07%,NUE,NUCOR CORP,--,"$49,937.43 ",303
0.06%,STT,STATE STREET CORP,--,"$49,138.95 ",371
0.06%,CCI,CROWN CASTLE INC,--,"$49,096.93 ",577
0.06%,FISV,FISERV INC,--,"$49,058.94 ",714
0.06%,KDP,KEURIG DR PEPPER INC,--,"$49,050.00 ","1,800"
0.06%,FICO,FAIR ISAAC CORP,--,"$48,995.81 ",31
0.06%,WAB,WABTEC CORP,--,"$48,956.12 ",226
0.06%,FIX,COMFORT SYSTEMS USA INC,--,"$48,650.64 ",47
0.06%,KEYS,KEYSIGHT TECHNOLOGIES IN,--,"$48,196.64 ",227
0.06%,DELL,DELL TECHNOLOGIES -C,--,"$48,028.00 ",400
0.06%,PAYX,PAYCHEX INC,--,"$48,000.90 ",430
0.06%,RMD,RESMED INC,--,"$47,904.53 ",193
0.06%,KR,KROGER CO,--,"$47,898.24 ",808
0.06%,ED,CONSOLIDATED EDISON INC,--,"$47,598.23 ",479
0.06%,VTR,VENTAS INC,--,"$47,079.18 ",622
0.06%,ARES,ARES MANAGEMENT CORP - A,--,"$46,457.60 ",272
0.06%,CCL,CARNIVAL CORP,--,"$46,206.29 ","1,439"
0.06%,EXPE,EXPEDIA GROUP INC,--,"$46,062.90 ",155
0.06%,TER,TERADYNE INC,--,"$46,053.36 ",207
0.06%,FIS,FIDELITY NATIONAL INFO SERV,--,"$45,843.51 ",687
0.06%,SYY,SYSCO CORP,--,"$45,796.20 ",635
0.06%,OTIS,OTIS WORLDWIDE CORP,--,"$45,624.72 ",516
0.06%,ACGL,ARCH CAPITAL GROUP LTD,--,"$45,581.64 ",479
0.06%,GRMN,GARMIN LTD,--,"$45,506.88 ",216
